Cm,Ofl,Sal,Var4
0,0,0,0.99
0,0,0.25,0.98394
0,0,0.4,0.96899
0,0,0.5,0.95781
0,0,0.75,0.92701
0,0,0.8,0.92051
0,0,1,0.89375
0,0,1.2,0.86629
0,0,1.25,0.85937
0,0,1.5,0.82476
0,0,1.6,0.811
0,0,1.75,0.79054
0,0,2,0.75712
0,0,2.25,0.72477
0,0,2.4,0.70595
0,0,2.5,0.69367
0,0,2.75,0.66392
0,0,2.8,0.65814
0,4,0,0.99
0,4,0.4,0.95036
0,4,0.8,0.91188
0,4,1.2,0.87893
0,4,1.6,0.84596
0,4,2,0.81063
0,4,2.4,0.68058
0,4,2.8,0.6629
0,7,0,0.99
0,7,0.25,0.96653
0,7,0.4,0.94316
0,7,0.5,0.92758
0,7,0.75,0.91005
0,7,1,0.89253
0,7,1.25,0.87929
0,7,1.5,0.86604
0,7,1.75,0.83912
0,7,2,0.81219
0,7,2.25,0.73035
0,7,2.5,0.6485
0,7,2.75,0.66981
0,8,0,0.99
0,8,0.4,0.94751
0,8,0.8,0.91134
0,8,1.2,0.88336
0,8,1.6,0.85216
0,8,2,0.81143
0,8,2.4,0.68957
0,8,2.8,0.68008
0,12,0,0.99
0,12,0.4,0.9649
0,12,0.8,0.93051
0,12,1.2,0.88907
0,12,1.6,0.8397
0,12,2,0.80836
0,12,2.4,0.72289
0,12,2.8,0.70412
0,14,0,0.99
0,14,0.25,0.99
0,14,0.5,0.96056
0,14,0.75,0.94351
0,14,0.8,0.9401
0,14,1,0.92645
0,14,1.25,0.8833
0,14,1.5,0.84014
0,14,1.75,0.82348
0,14,2,0.80682
0,14,2.25,0.76478
0,14,2.5,0.72273
0,14,2.75,0.71724
0,16,0,0.99
0,16,0.4,0.97412
0,16,0.8,0.95029
0,16,1.2,0.90231
0,16,1.6,0.84155
0,16,2,0.81589
0,16,2.4,0.76758
0,16,2.8,0.73276
0,20,0,0.9614
0,20,0.4,0.97515
0,20,0.8,0.97068
0,20,1.2,0.92308
0,20,1.6,0.85769
0,20,2,0.83404
0,20,2.4,0.82363
0,20,2.8,0.76601
0,21,0,0.94648
0,21,0.25,0.9591
0,21,0.5,0.98628
0,21,0.75,0.97753
0,21,1,0.96878
0,21,1.2,0.92827
0,21,1.25,0.91814
0,21,1.5,0.86751
0,21,1.75,0.85304
0,21,2,0.83858
0,21,2.25,0.83799
0,21,2.5,0.83741
0,21,2.75,0.78484
0,24,0,0.87381
0,24,0.4,0.94071
0,24,0.8,0.96325
0,24,1.2,0.91948
0,24,1.6,0.85743
0,24,2,0.8383
0,24,2.4,0.80436
0,24,2.8,0.74996
0,28,0,0.70113
0,28,0.25,0.80795
0,28,0.4,0.89444
0,28,0.5,0.9521
0,28,0.75,0.94747
0,28,0.8,0.94654
0,28,1,0.94284
0,28,1.2,0.90777
0,28,1.25,0.899
0,28,1.5,0.85515
0,28,1.6,0.85171
0,28,1.75,0.84654
0,28,2,0.83793
0,28,2.25,0.78922
0,28,2.4,0.75999
0,28,2.5,0.7405
0,28,2.75,0.72131
0,28,2.8,0.71747
0,32,0,0.47879
0,32,0.4,0.8492
0,32,0.8,0.93419
0,32,1.2,0.89909
