Linc,Cm,Ofl,Tmp,Var5
0,0,0,0,0.99
0,0,0,0.03,0.91752
0,0,0,0.06,0.82222
0,0,0,0.09,0.73461
0,0,0,0.12,0.65789
0,0,0,0.15,0.59179
0,0,0,0.18,0.53507
0,0,0,0.21,0.48634
0,0,0,0.24,0.44431
0,0,0,0.27,0.40786
0,0,0,0.3,0.37608
0,0,0,0.33,0.34821
0,0,4,0,0.99
0,0,4,0.03,0.88161
0,0,7,0,0.99
0,0,7,0.03,0.88595
0,0,7,0.06,0.78335
0,0,7,0.09,0.7105
0,0,7,0.12,0.62707
0,0,7,0.15,0.6146
0,0,7,0.18,0.55431
0,0,7,0.21,0.54093
0,0,7,0.24,0.50474
0,0,7,0.27,0.47378
0,0,7,0.3,0.37769
0,0,7,0.33,0.27786
0,0,8,0,0.99
0,0,8,0.06,0.77548
0,0,12,0,0.99
0,0,12,0.09,0.67128
0,0,14,0,0.99
0,0,14,0.03,0.8506
0,0,14,0.06,0.71293
0,0,14,0.09,0.65418
0,0,14,0.12,0.55378
0,0,14,0.15,0.53568
0,0,14,0.18,0.44519
0,0,14,0.21,0.4082
0,0,14,0.24,0.37127
0,0,14,0.27,0.33017
0,0,14,0.3,0.20693
0,0,14,0.33,0.20418
0,0,16,0,0.99
0,0,16,0.12,0.53203
0,0,20,0,0.97073
0,0,20,0.15,0.42223
0,0,21,0,0.95926
0,0,21,0.03,0.77919
0,0,21,0.06,0.67116
0,0,21,0.09,0.56633
0,0,21,0.12,0.47661
0,0,21,0.15,0.40228
0,0,21,0.18,0.24618
0,0,21,0.21,0.18589
0,0,21,0.24,0.17296
0,0,21,0.27,0.15728
0,0,21,0.3,0.1168
0,0,21,0.33,0.10343
0,0,24,0,0.90215
0,0,24,0.18,0.18778
0,0,28,0,0.7575
0,0,28,0.03,0.645
0,0,28,0.06,0.55547
0,0,28,0.09,0.43821
0,0,28,0.12,0.33545
0,0,28,0.15,0.24847
0,0,28,0.18,0.13677
0,0,28,0.21,0.10995
0,0,28,0.24,0.10041
0,0,28,0.27,0.083585
0,0,28,0.3,0.05
0,0,28,0.33,0.05
0,0,32,0,0.55019
0,0,32,0.24,0.076291
0,0,36,0,0.34852
0,0,36,0.27,0.05
0,0,40,0,0.20337
0,0,40,0.3,0.05
0,0,44,0,0.11562
0,0,44,0.33,0.05
0,0.1,0,0,0.99
0,0.1,0,0.03,0.90313
0,0.1,7,0,0.96217
0,0.1,14,0,0.95136
0,0.1,21,0,0.90643
0,0.1,28,0,0.76968
0,0.2,0,0,0.98187
0,0.2,0,0.06,0.75793
0,0.2,7,0,0.93066
0,0.2,14,0,0.92946
0,0.2,21,0,0.89861
0,0.2,28,0,0.79438
0,0.25,0,0,0.97219
0,0.25,0,0.03,0.85162
0,0.25,0,0.06,0.74165
0,0.25,0,0.09,0.64841
0,0.25,0,0.12,0.57285
0,0.25,0,0.15,0.51697
0,0.25,0,0.18,0.50726
0,0.25,0,0.21,0.46845
0,0.25,0,0.24,0.41955
0,0.25,0,0.27,0.40158
0,0.25,0,0.3,0.31309
0,0.25,0,0.33,0.16006
0,0.25,4,0,0.92669
0,0.25,8,0,0.92404
0,0.25,12,0,0.92456
0,0.25,16,0,0.92529
0,0.25,20,0,0.9025
0,0.25,24,0,0.87627
0,0.25,28,0,0.79977
0,0.25,32,0,0.71135
0,0.25,36,0,0.58322
0,0.25,40,0,0.44147
0,0.25,44,0,0.30378
0,0.3,0,0,0.9607
0,0.3,0,0.09,0.65133
0,0.3,7,0,0.92533
0,0.3,14,0,0.92467
0,0.3,21,0,0.89412
0,0.3,28,0,0.8005
0,0.4,0,0,0.9329
0,0.4,0,0.12,0.56493
0,0.4,7,0,0.92657
0,0.4,14,0,0.92417
0,0.4,21,0,0.89048
0,0.4,28,0,0.80196
0,0.5,0,0,0.89975
0,0.5,0,0.03,0.76715
